customer_id,customer_type,registration_date,age_group,gender,location_city,location_state,location_country,income_bracket,preferred_channel,email_opt_in,phone_number,customer_lifetime_value,log_clv,customer_lifetime_value_log,customer_id_new
CUST-010000,New,2024-08-10,46-55,Female,Austin,CO,USA,30-50K,Online,False,,364.22,5.900499911733888,5.897758080667674,CUST-16835
CUST-010001,Returning,2023-09-28,26-35,Female,Phoenix,OH,USA,50-75K,Online,True,(879)259-6147x7814,879.95,6.781000870636638,6.77986508767622,CUST-16519
CUST-010002,Returning,2023-04-08,46-55,Female,Boston,NC,USA,50-75K,Phone,True,,2242.25,7.7156809861781674,7.715235104998112,CUST-10932
CUST-010003,Returning,2022-09-09,26-35,Male,Chicago,FL,USA,50-75K,Mobile App,True,001-604-953-1943x3750,1918.33,7.559731445788366,7.559210294866903,CUST-19361
CUST-010004,Returning,2022-10-01,18-25,Male,Dallas,AZ,USA,30-50K,Online,True,,1591.49,7.373054107991752,7.372425963321948,CUST-18297
CUST-010005,VIP,2024-01-31,56-65,Female,San Antonio,NY,USA,100K+,In-Store,True,9809157995,7792.86,8.961091523202043,8.96096320884195,CUST-17473
CUST-010006,Returning,2024-06-27,36-45,Female,Jacksonville,FL,USA,30-50K,Online,True,5349918333,1883.84,7.541598215642941,7.541067525839897,CUST-16085
CUST-010007,New,2023-10-02,46-55,Male,Los Angeles,CA,USA,30-50K,Online,False,+1-308-994-8706x05664,177.22,5.183018742184574,5.177391898619156,CUST-12735
CUST-010008,New,2024-07-09,46-55,Female,Phoenix,WA,UK,50-75K,Online,True,558.703.0468x7506,430.1,6.066340081753089,6.064017739789691,CUST-18632
CUST-010009,New,2024-09-09,18-25,Male,Philadelphia,TX,USA,50-75K,Online,True,,583.95,6.3715263734936105,6.369815362724575,CUST-18087
CUST-010010,Returning,2022-09-08,18-25,Male,New York,OH,USA,30-50K,Online,False,790-636-1332,1667.7,7.4198001591528575,7.419200710627534,CUST-16025
CUST-010011,New,2024-03-24,18-25,Male,Los Angeles,IL,USA,<30K,Phone,True,510-376-0954,146.29,4.992403432501452,4.985590952989995,CUST-16550
CUST-010012,Returning,2024-06-06,36-45,Female,Jacksonville,TX,USA,50-75K,In-Store,True,(733)505-2179,2946.88,7.98884154691764,7.988502262533002,CUST-14065
CUST-010013,Returning,2022-05-12,46-55,Female,San Antonio,CA,USA,30-50K,In-Store,True,6068512070,1557.06,7.351196736600592,7.350554706736991,CUST-17133
CUST-010014,New,2023-12-11,56-65,Female,Fort Worth,NC,USA,50-75K,In-Store,True,,558.85,6.327668890706206,6.32588110083162,CUST-16805
CUST-010015,Returning,2024-03-11,18-25,Male,Los Angeles,WA,USA,<30K,Online,False,810-580-4661,1756.4,7.471590723061743,7.4710215386875625,CUST-16094
CUST-010016,Returning,2023-06-28,26-35,Female,San Jose,MA,USA,30-50K,In-Store,True,6286215832,2247.4,7.71797413112792,7.717529271473802,CUST-12647
CUST-010017,Returning,2023-05-13,18-25,Female,Charlotte,TX,USA,<30K,In-Store,True,001-431-610-9193,1159.34,7.056468344602262,7.055606156660867,CUST-18964
CUST-010018,New,2024-01-04,36-45,Female,Austin,CO,USA,30-50K,In-Store,False,5614757563,205.21,5.328895067012175,5.324033845052673,CUST-18772
CUST-010019,VIP,2022-03-28,36-45,Female,Boston,IL,USA,75-100K,In-Store,True,498-222-7495x4508,12525.41,9.435594494467292,9.435514659948241,CUST-10768
CUST-010020,New,2022-05-22,26-35,Female,Columbus,AZ,USA,50-75K,Mobile App,False,388.706.5333,414.1,6.028519455058993,6.026107490551522,CUST-18481
CUST-010021,Returning,2022-12-18,56-65,Female,Philadelphia,PA,USA,<30K,Mobile App,True,677.895.9959,1080.5,6.986104245393113,6.985179175946941,CUST-16126
CUST-010022,Returning,2023-06-23,56-65,Male,Chicago,PA,USA,<30K,In-Store,True,,1248.86,7.130786824023878,7.129986414171324,CUST-14881
CUST-010023,Returning,2022-05-07,36-45,Other,Columbus,MA,USA,<30K,Online,True,921-770-7303x37933,1571.27,7.360275713966017,7.35963948854262,CUST-17447
CUST-010024,VIP,2024-01-30,26-35,Female,Denver,OH,USA,50-75K,In-Store,True,(462) 817-9495,7564.05,8.931294235585941,8.931162040015623,CUST-17443
CUST-010025,Returning,2024-02-20,26-35,Male,San Jose,NC,USA,30-50K,Online,True,439.750.0334x234,1653.37,7.411175550687414,7.410570908224303,CUST-11620
CUST-010026,Returning,2022-11-30,26-35,Female,New York,NC,USA,75-100K,Mobile App,True,+1-195-839-2815,3111.38,8.043142985812862,8.042821636657816,CUST-17681
CUST-010027,Returning,2022-02-12,18-25,Male,San Diego,PA,USA,30-50K,Online,True,,2279.0,7.731930721948486,7.731492029245684,CUST-10021
CUST-010028,New,2022-12-21,46-55,Female,Jacksonville,WA,USA,50-75K,In-Store,True,,498.12,6.212846547802531,6.210841011852947,CUST-18377
CUST-010029,VIP,2023-06-05,36-45,Female,Denver,CA,USA,75-100K,In-Store,True,+1-315-334-7355x2896,8831.79,9.08622621198046,9.086112991060283,CUST-18738
CUST-010030,Returning,2023-04-03,18-25,Female,Charlotte,PA,USA,30-50K,Online,True,+1-662-138-2209,1981.75,7.592240048963429,7.591735571717265,CUST-16691
CUST-010031,VIP,2023-05-20,26-35,Female,Dallas,PA,USA,75-100K,Mobile App,True,2996384253,5389.16,8.592330348063577,8.592144807602237,CUST-10251
CUST-010032,Returning,2022-05-10,36-45,Female,San Antonio,NC,USA,75-100K,In-Store,True,(489)873-1791,3732.31,8.225050518595545,8.22478262389799,CUST-14161
CUST-010033,Returning,2022-09-12,26-35,Female,Seattle,WA,USA,75-100K,Online,True,001-885-278-7255x87774,1171.39,7.066799679288249,7.065946356825663,CUST-14539
CUST-010034,Returning,2024-06-14,26-35,Male,Austin,PA,USA,30-50K,Mobile App,False,833.473.6346,1111.58,7.014436921567347,7.013537705623006,CUST-10959
CUST-010035,Returning,2024-01-25,36-45,Male,Columbus,OH,USA,<30K,In-Store,False,(248)912-1478x539,1694.73,7.435868605565276,7.435278715090829,CUST-10836
CUST-010036,Returning,2023-03-13,46-55,Female,Phoenix,TX,USA,75-100K,In-Store,True,495.967.7665x75460,2123.9,7.661480021427686,7.661009300274201,CUST-17592
CUST-010037,Returning,2022-05-01,26-35,Female,Phoenix,PA,USA,50-75K,Online,False,,1247.24,7.129489838132927,7.1286883890701995,CUST-10404
CUST-010038,Returning,2024-03-06,26-35,Female,Charlotte,FL,USA,30-50K,Online,False,001-922-207-7748x2125,1723.32,7.452588048848521,7.452007941860527,CUST-13062
CUST-010039,VIP,2022-05-07,46-55,Female,Phoenix,IL,USA,75-100K,Online,True,511.715.0835,10635.17,9.272015735687603,9.271921712461916,CUST-10044
CUST-010040,Returning,2022-03-06,18-25,Female,San Jose,PA,UK,<30K,Online,True,(865)580-1748,1297.28,7.168795590487482,7.16802504382358,CUST-10470
CUST-010041,Returning,2024-08-09,26-35,Male,Los Angeles,NY,USA,75-100K,In-Store,True,001-907-582-6333,4075.2,8.312920460852279,8.312675104225193,CUST-11462
CUST-010042,Returning,2022-10-24,18-25,Female,Jacksonville,PA,USA,<30K,Mobile App,False,,903.89,6.807813389351169,6.806707671572463,CUST-13636
CUST-010043,VIP,2024-03-31,26-35,Female,Philadelphia,CA,USA,100K+,Mobile App,False,378.853.9806x79248,13373.65,9.501116403197514,9.50104163209053,CUST-17467
CUST-010044,New,2023-01-17,26-35,Female,Seattle,MA,Mexico,<30K,Phone,True,(892)840-7553,201.99,5.313156716744676,5.308218191225299,CUST-16274
CUST-010045,VIP,2023-09-20,26-35,Female,Jacksonville,NY,USA,75-100K,Phone,True,+1-868-845-9090x22599,11937.1,9.38749024530601,9.387406476374181,CUST-17287
CUST-010046,New,2023-03-04,26-35,Male,Los Angeles,AZ,USA,50-75K,Online,True,961.686.3715,363.14,5.8975384090758185,5.894788434842521,CUST-16322
CUST-010047,Returning,2023-04-28,26-35,Female,Boston,PA,USA,50-75K,In-Store,True,421-582-0970,960.35,6.868338546618346,6.867297801350861,CUST-12997
CUST-010048,Returning,2022-08-26,26-35,Male,San Diego,FL,USA,75-100K,Mobile App,False,264-733-4817,3844.58,8.25467971581732,8.25441964320358,CUST-17978
CUST-010049,Returning,2024-09-15,18-25,Female,San Diego,CA,USA,30-50K,In-Store,True,,1356.42,7.2133411182115035,7.212604155055783,CUST-15647
CUST-010050,VIP,2024-06-23,56-65,Female,Denver,NC,USA,75-100K,In-Store,True,502.456.6212x86716,10285.41,9.238578885544362,9.23848166517195,CUST-10019
CUST-010051,New,2023-01-13,36-45,Female,Jacksonville,NC,USA,30-50K,In-Store,True,546.972.9949,148.18,5.005153630527017,4.998427750988511,CUST-14574
CUST-010052,Returning,2022-06-27,56-65,Female,Los Angeles,IL,USA,50-75K,In-Store,True,930-927-1693x859,859.1,6.757048661557434,6.755885329644011,CUST-13595
CUST-010053,VIP,2023-11-26,65+,Not Specified,San Diego,MA,USA,75-100K,In-Store,True,1166543965,9491.97,9.158306803653483,9.158201456994401,CUST-13512
CUST-010054,Returning,2022-07-09,36-45,Male,New York,CO,USA,50-75K,In-Store,True,+1-667-362-9160x324,1281.46,7.156535387474714,7.155755331895206,CUST-13348
CUST-010055,Returning,2022-06-23,26-35,Female,Chicago,NC,USA,30-50K,In-Store,True,,980.26,6.888837460127492,6.88781784259962,CUST-19294
CUST-010056,New,2023-04-06,46-55,Female,Denver,CA,USA,30-50K,In-Store,True,8013265814,268.4,5.596197263976263,5.592478405097527,CUST-13490
CUST-010057,Returning,2024-02-05,36-45,Male,Dallas,IL,USA,75-100K,In-Store,True,838-207-0176x563,2762.58,7.924282219651125,7.9239203046827145,CUST-12530
CUST-010058,Returning,2022-07-10,46-55,Male,San Jose,IL,USA,<30K,In-Store,True,(584)229-2391x22356,996.42,6.905171945046533,6.904168855446716,CUST-15743
CUST-010059,VIP,2024-01-16,46-55,Female,Columbus,AZ,USA,100K+,In-Store,True,001-372-874-2209x124,5449.79,8.603515831280896,8.603332354804817,CUST-11856
CUST-010060,Returning,2024-02-24,36-45,Male,Philadelphia,OH,USA,30-50K,Online,True,(722) 201-4809,1381.37,7.231554696425424,7.230831039320457,CUST-10692
CUST-010061,Returning,2023-10-29,56-65,Female,Austin,NC,USA,75-100K,Online,True,+1-729-432-5163,3233.13,8.08151523722648,8.081205987247982,CUST-12844
CUST-010062,Returning,2022-11-06,18-25,Male,Dallas,WA,USA,<30K,Mobile App,True,(333)410-6005x313,869.99,6.769630495730338,6.7684817173296965,CUST-19736
CUST-010063,Returning,2022-11-10,56-65,Female,Dallas,FL,USA,30-50K,Phone,False,001-820-868-1558x3938,991.01,6.8997331878792245,6.898724625096432,CUST-14244
